Time,WOPR:INJ1,WOPR:PROD1,WOPR:PROD2,WOPR:PROD3,WOPR:PROD4,WWPR:INJ1,WWPR:PROD1,WWPR:PROD2,WWPR:PROD3,WWPR:PROD4,WLPR:INJ1,WLPR:PROD1,WLPR:PROD2,WLPR:PROD3,WLPR:PROD4,WGPR:INJ1,WGPR:PROD1,WGPR:PROD2,WGPR:PROD3,WGPR:PROD4,WWIR:INJ1,WWIR:PROD1,WWIR:PROD2,WWIR:PROD3,WWIR:PROD4,WGOR:INJ1,WGOR:PROD1,WGOR:PROD2,WGOR:PROD3,WGOR:PROD4,WBHP:INJ1,WBHP:PROD1,WBHP:PROD2,WBHP:PROD3,WBHP:PROD4,WOPT:INJ1,WOPT:PROD1,WOPT:PROD2,WOPT:PROD3,WOPT:PROD4,WWPT:INJ1,WWPT:PROD1,WWPT:PROD2,WWPT:PROD3,WWPT:PROD4,WLPT:INJ1,WLPT:PROD1,WLPT:PROD2,WLPT:PROD3,WLPT:PROD4,WGPT:INJ1,WGPT:PROD1,WGPT:PROD2,WGPT:PROD3,WGPT:PROD4,WWIT:INJ1,WWIT:PROD1,WWIT:PROD2,WWIT:PROD3,WWIT:PROD4,FOPT,FWPT,FLPT,FGPT,FWIT
2019-09-02,-0.0,19996.29296875,19996.3671875,19996.328125,19996.26953125,-0.0,2.7237680114922114e-05,2.723758007050492e-05,2.723752913880162e-05,2.723770376178436e-05,-0.0,19996.29296875,19996.3671875,19996.328125,19996.26953125,-0.0,24624.71484375,24624.65625,24624.7109375,24624.740234375,40335.5390625,0.0,0.0,0.0,0.0,0.0,1.2314640283584595,1.2314563989639282,1.2314616441726685,1.2314667701721191,9014.0,1449.586181640625,1449.5841064453125,1449.5892333984375,1449.587890625,0.0,19996.29296875,19996.3671875,19996.328125,19996.26953125,0.0,2.7237680114922114e-05,2.723758007050492e-05,2.723752913880162e-05,2.723770376178436e-05,0.0,19996.29296875,19996.3671875,19996.328125,19996.26953125,0.0,24624.71484375,24624.65625,24624.7109375,24624.740234375,40335.5390625,0.0,0.0,0.0,0.0,79985.2578125,0.00010895049490500242,79985.2578125,98498.8203125,40335.5390625
2019-09-03,-0.0,19999.99609375,19999.998046875,19999.998046875,19999.998046875,-0.0,3.6818259104620665e-05,3.681840462377295e-05,3.6818095395574346e-05,3.681812813738361e-05,-0.0,19999.99609375,19999.998046875,19999.998046875,19999.998046875,-0.0,27826.291015625,27826.36328125,27826.2109375,27826.224609375,36640.87890625,0.0,0.0,0.0,0.0,0.0,1.3913148641586304,1.3913183212280273,1.391310691833496,1.3913114070892334,9014.0,1062.402587890625,1062.3956298828125,1062.410400390625,1062.4088134765625,0.0,39996.2890625,39996.3671875,39996.32421875,39996.265625,0.0,6.405593740055338e-05,6.405598833225667e-05,6.405562453437597e-05,6.405583553714678e-05,0.0,39996.2890625,39996.3671875,39996.32421875,39996.265625,0.0,52451.0078125,52451.01953125,52450.921875,52450.96484375,76976.4140625,0.0,0.0,0.0,0.0,159985.25,0.00025622337125241756,159985.25,209803.90625,76976.4140625
2019-09-04,-0.0,16977.9921875,16977.94921875,16978.041015625,16978.041015625,-0.0,4.072627052664757e-05,4.072630326845683e-05,4.072623050888069e-05,4.072623050888069e-05,-0.0,16977.9921875,16977.94921875,16978.041015625,16978.041015625,-0.0,28033.912109375,28033.904296875,28033.921875,28033.91796875,34919.3359375,0.0,0.0,0.0,0.0,0.0,1.6511913537979126,1.6511949300765991,1.6511870622634888,1.6511868238449097,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,56974.28125,56974.31640625,56974.3671875,56974.30859375,0.0,0.00010478220792720094,0.0001047822879627347,0.00010478185140527785,0.00010478206240804866,0.0,56974.28125,56974.31640625,56974.3671875,56974.30859375,0.0,80484.921875,80484.921875,80484.84375,80484.8828125,111895.75,0.0,0.0,0.0,0.0,227897.265625,0.0004191284242551774,227897.265625,321939.5625,111895.75
2019-09-05,-0.0,14752.6083984375,14752.58203125,14752.658203125,14752.6689453125,-0.0,4.2474344809306785e-05,4.247436663717963e-05,4.247431206749752e-05,4.2474308429518715e-05,-0.0,14752.6083984375,14752.58203125,14752.658203125,14752.6689453125,-0.0,27229.328125,27229.314453125,27229.33984375,27229.33203125,33340.3125,0.0,0.0,0.0,0.0,0.0,1.8457298278808594,1.8457320928573608,1.84572434425354,1.8457224369049072,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,71726.890625,71726.8984375,71727.0234375,71726.9765625,0.0,0.00014725654909852892,0.00014725665096193552,0.00014725617074873298,0.00014725637447554618,0.0,71726.890625,71726.8984375,71727.0234375,71726.9765625,0.0,107714.25,107714.234375,107714.1796875,107714.2109375,145236.0625,0.0,0.0,0.0,0.0,286907.78125,0.0005890257307328284,286907.78125,430856.875,145236.0625
2019-09-06,-0.0,13351.5673828125,13351.130859375,13342.9130859375,13350.9716796875,-0.0,4.348520451458171e-05,4.348539005150087e-05,4.348886068328284e-05,4.3485422793310136e-05,-0.0,13351.5673828125,13351.130859375,13342.9130859375,13350.9716796875,-0.0,26260.9609375,26261.005859375,26261.962890625,26261.15234375,27587.4609375,0.0,0.0,0.0,0.0,0.0,1.9668822288513184,1.9669498205184937,1.9682331085205078,1.9669842720031738,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,85078.453125,85078.03125,85069.9375,85077.9453125,0.0,0.00019074176088906825,0.00019074203737545758,0.0001907450205180794,0.0001907417899928987,0.0,85078.453125,85078.03125,85069.9375,85077.9453125,0.0,133975.203125,133975.25,133976.140625,133975.359375,172823.53125,0.0,0.0,0.0,0.0,340304.375,0.0007629706524312496,340304.375,535901.9375,172823.53125
2019-09-07,-0.0,12475.7255859375,12475.3369140625,12462.8095703125,12475.22265625,-0.0,4.4072196033084765e-05,4.407233791425824e-05,4.4076925405533984e-05,4.407235246617347e-05,-0.0,12475.7255859375,12475.3369140625,12462.8095703125,12475.22265625,-0.0,25236.953125,25236.921875,25235.763671875,25237.03125,22800.830078125,0.0,0.0,0.0,0.0,0.0,2.0228846073150635,2.0229451656341553,2.024885654449463,2.022972345352173,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,97554.1796875,97553.3671875,97532.75,97553.171875,0.0,0.0002348139532841742,0.00023481437528971583,0.0002348219568375498,0.0002348141570109874,0.0,97554.1796875,97553.3671875,97532.75,97553.171875,0.0,159212.15625,159212.171875,159211.90625,159212.390625,195624.359375,0.0,0.0,0.0,0.0,390193.46875,0.000939264427870512,390193.46875,636848.625,195624.359375
2019-09-08,-0.0,11905.7685546875,11905.4267578125,11891.9833984375,11905.33984375,-0.0,4.4422984501579776e-05,4.442308272700757e-05,4.442702265805565e-05,4.442309364094399e-05,-0.0,11905.7685546875,11905.4267578125,11891.9833984375,11905.33984375,-0.0,24220.61328125,24220.52734375,24217.29296875,24220.609375,18303.974609375,0.0,0.0,0.0,0.0,0.0,2.0343594551086426,2.0344107151031494,2.036438465118408,2.0344324111938477,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,109459.953125,109458.7890625,109424.7265625,109458.5078125,0.0,0.0002792369341477752,0.0002792374580167234,0.00027924898313358426,0.0002792372542899102,0.0,109459.953125,109458.7890625,109424.7265625,109458.5078125,0.0,183432.78125,183432.6875,183429.203125,183433.0,213928.328125,0.0,0.0,0.0,0.0,437801.96875,0.0011169606586918235,437801.96875,733727.6875,213928.328125
2019-09-09,-0.0,11532.7587890625,11532.4580078125,11518.908203125,11532.38671875,-0.0,4.462662764126435e-05,4.462669312488288e-05,4.463005097932182e-05,4.462670040084049e-05,-0.0,11532.7587890625,11532.4580078125,11518.908203125,11532.38671875,-0.0,23272.28125,23272.181640625,23263.638671875,23272.2421875,14689.5166015625,0.0,0.0,0.0,0.0,0.0,2.0179283618927,2.017972469329834,2.019604444503784,2.0179901123046875,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,120992.7109375,120991.25,120943.640625,120990.8984375,0.0,0.0003238635545130819,0.0003238641656935215,0.0003238790377508849,0.00032386393286287785,0.0,120992.7109375,120991.25,120943.640625,120990.8984375,0.0,206705.0625,206704.875,206692.84375,206705.25,228617.84375,0.0,0.0,0.0,0.0,483918.5,0.001295470749028027,483918.5,826808.0,228617.84375
2019-09-10,-0.0,11238.9521484375,11238.6767578125,11224.947265625,11238.6181640625,-0.0,4.474813977140002e-05,4.47481797891669e-05,4.475074092624709e-05,4.4748183427145705e-05,-0.0,11238.9521484375,11238.6767578125,11224.947265625,11238.6181640625,-0.0,22381.34765625,22381.228515625,22365.884765625,22381.267578125,12074.6630859375,0.0,0.0,0.0,0.0,0.0,1.9914088249206543,1.9914469718933105,1.9925156831741333,1.9914608001708984,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,132231.65625,132229.921875,132168.578125,132229.515625,0.0,0.00036861171247437596,0.00036861232365481555,0.00036862975684925914,0.00036861211992800236,0.0,132231.65625,132229.921875,132168.578125,132229.515625,0.0,229086.40625,229086.109375,229058.71875,229086.515625,240692.515625,0.0,0.0,0.0,0.0,528859.6875,0.0014744659420102835,528859.6875,916317.75,240692.515625
2019-09-11,-0.0,11053.16796875,11052.93359375,11041.5341796875,11052.8896484375,-0.0,4.480388088268228e-05,4.4803899072576314e-05,4.480517964111641e-05,4.4803899072576314e-05,-0.0,11053.16796875,11052.93359375,11041.5341796875,11052.8896484375,-0.0,21597.80078125,21597.6796875,21577.443359375,21597.70703125,10941.62109375,0.0,0.0,0.0,0.0,0.0,1.9539918899536133,1.9540224075317383,1.9542070627212524,1.9540326595306396,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,143284.828125,143282.859375,143210.125,143282.40625,0.0,0.0004134155751671642,0.0004134162445552647,0.0004134349583182484,0.00041341601172462106,0.0,143284.828125,143282.859375,143210.125,143282.40625,0.0,250684.203125,250683.78125,250636.171875,250684.21875,251634.125,0.0,0.0,0.0,0.0,573060.1875,0.0016536827897652984,573060.1875,1002688.375,251634.125
